unit_id,product_type,price,gender,time_slot,price_tier,followers_10k,active_followers_10k,stream_hours,viewers,sales_index,conversion_rate,conversion_pct,fan_activity,sales_per_viewer,mean_f0,range_f0,sd_f0,hnr,jitter,shimmer,speech_rate,voice_index
25,daily_goods,288.5,1,morning,high,32.3,8.5,7.33,387,1300,0.1988,19.9,0.2633,3.36,193.6,290.21,48.33,7.38,2.7718,15.1758,4.883,-0.1911
26,food,14.3,0,late_night,low,6.5,0.2,12.05,3171,1300,0.141,14.1,0.0309,0.41,261.9,425.06,66.42,8.97,2.9276,15.5758,5.793,-0.061
27,food,26.7,1,evening,low,35.7,3.6,5.06,937,1300,0.0699,7.0,0.101,1.39,289.4,562.0,93.52,5.05,3.3426,17.6154,6.002,-0.5134
28,daily_goods,7.3,0,morning,low,36.6,2.8,6.67,13487,4723,0.22,22.0,0.0765,0.35,240.09,515.35,56.7,9.55,1.6437,13.4257,4.533,0.2642
29,food,19.1,1,morning,low,40.5,10.2,3.03,481,1300,0.2422,24.2,0.252,2.7,171.11,490.41,81.19,10.37,2.3519,12.3218,5.265,0.2719
30,food,51.8,1,morning,mid,15.3,2.6,7.22,4443,1704,0.2123,21.2,0.1694,0.38,167.27,552.71,87.41,8.61,2.8425,13.1556,5.072,-0.0141
31,food,137.9,0,late_night,mid_high,90.8,10.4,1.18,1148,1300,0.2318,23.2,0.1146,1.13,163.79,509.73,81.1,5.0,2.69,17.148,6.235,-0.3381
32,apparel,16.4,0,afternoon,low,85.7,10.3,5.85,3274,1300,0.1899,19.0,0.1202,0.4,146.08,562.0,96.28,11.77,1.9377,12.5147,3.737,0.3463
33,apparel,17.8,1,evening,low,10.3,2.0,6.76,507,1300,0.2014,20.1,0.1944,2.56,243.69,545.39,86.59,10.15,1.4266,14.2154,4.497,0.3175
34,food,3.4,0,evening,low,102.9,10.3,12.93,921,1300,0.1624,16.2,0.1001,1.41,296.5,562.0,79.66,7.31,2.6196,15.1773,4.959,-0.158
35,daily_goods,30.6,1,evening,mid,320.0,95.0,2.6,834,1300,0.2104,21.0,0.2969,1.56,237.3,499.42,78.63,8.47,1.9919,15.5584,4.471,0.0111
36,apparel,11.4,0,morning,low,59.2,20.4,8.47,283,1300,0.1542,15.4,0.3447,4.59,128.0,544.23,87.69,5.3,2.8781,16.3664,3.527,-0.5166
37,daily_goods,20.4,1,late_night,low,34.7,6.3,4.96,2679,1300,0.1655,16.5,0.1817,0.49,228.08,444.82,72.2,6.53,2.0888,16.7045,2.779,-0.3236
38,daily_goods,13.9,1,morning,low,42.6,13.0,1.54,2632,1300,0.1534,15.3,0.3055,0.49,229.53,420.68,68.77,7.8,2.6478,16.0563,4.464,-0.2023
39,apparel,33.0,0,evening,mid,94.3,19.1,4.48,2417,1300,0.2222,22.2,0.2026,0.54,346.99,562.0,99.27,12.39,2.1734,10.5285,5.748,0.5725
40,food,5.3,1,evening,low,8.0,2.1,7.1,9951,2621,0.2196,22.0,0.2616,0.26,162.23,487.73,68.26,7.54,2.2207,11.9338,4.018,0.0203
41,apparel,7.3,0,evening,low,58.7,8.8,13.74,8726,2433,0.2248,22.5,0.1499,0.28,217.68,536.0,87.34,10.86,1.631,15.2336,6.1,0.3958
42,daily_goods,380.8,1,late_night,high,32.8,16.9,3.45,565,1300,0.087,8.7,0.5155,2.3,326.7,480.15,88.43,7.8,1.7033,15.0744,5.37,0.1102
43,daily_goods,8.9,0,morning,low,320.0,95.0,1.83,1736,1300,0.1996,20.0,0.2969,0.75,261.4,421.91,51.89,9.84,2.0785,10.6531,5.898,0.4114
44,food,11.0,0,evening,low,41.1,0.3,7.43,389,1300,0.1425,14.3,0.0073,3.34,267.29,470.9,76.96,8.83,2.1099,12.8818,5.192,0.1816
45,apparel,276.1,0,afternoon,high,284.7,21.7,18.62,1028,1300,0.2181,21.8,0.0762,1.26,243.96,562.0,84.65,11.47,1.4014,13.6236,5.459,0.5149
46,daily_goods,893.9,0,afternoon,high,15.5,3.5,23.77,404,1300,0.1373,13.7,0.2258,3.22,255.16,515.53,79.15,7.81,2.6152,14.2106,5.132,-0.0656
47,food,10.1,0,morning,low,91.5,23.3,2.36,11272,3522,0.2238,22.4,0.2546,0.31,278.44,329.66,44.6,5.11,2.6769,15.5116,6.056,-0.2679
48,daily_goods,24.4,1,morning,low,69.1,5.6,2.85,1712,1300,0.1561,15.6,0.0811,0.76,195.91,452.35,70.85,5.61,2.3885,18.2651,4.616,-0.3936
49,daily_goods,53.3,0,morning,mid,19.8,6.2,9.11,715,1300,0.0376,3.8,0.3126,1.82,283.66,562.0,106.49,7.82,2.2615,12.9777,5.459,0.0893
50,daily_goods,245.1,1,morning,high,59.5,6.4,4.24,5946,1300,0.0999,10.0,0.1075,0.22,166.6,452.47,61.02,5.95,3.0916,14.5324,4.663,-0.3527
51,daily_goods,12.4,0,afternoon,low,176.5,33.5,14.64,38,1300,0.228,22.8,0.1898,34.21,255.08,322.36,41.05,10.27,2.3237,13.473,4.723,0.1809
52,apparel,27.9,0,evening,low,35.2,6.9,3.16,48,1300,0.129,12.9,0.1962,27.08,247.29,562.0,78.2,7.99,2.386,15.1715,5.175,-0.042
53,food,86.1,1,evening,mid_high,8.4,0.7,16.46,3274,1300,0.1699,17.0,0.0837,0.4,205.95,525.96,99.7,15.37,1.6143,10.7623,6.244,0.9375
54,food,59.0,1,afternoon,mid,48.5,10.4,5.43,1086,1300,0.2131,21.3,0.2144,1.2,236.82,464.26,70.12,4.68,2.4882,18.0552,4.626,-0.473
55,food,24.2,0,afternoon,low,19.2,1.8,7.52,1445,1300,0.2087,20.9,0.094,0.9,205.63,439.54,70.1,9.73,2.1992,13.7855,4.936,0.1699
56,apparel,31.6,0,morning,mid,34.5,2.1,6.1,136,1300,0.1559,15.6,0.0609,9.56,182.27,558.75,85.78,6.27,2.7241,16.3973,5.399,-0.2794
57,food,8.1,1,evening,low,45.3,0.8,6.08,958,1300,0.1706,17.1,0.0176,1.36,219.61,425.56,59.59,7.92,2.2772,14.1766,5.539,0.0461
58,apparel,28.2,1,morning,low,8.2,2.5,5.8,20036,3494,0.1607,16.1,0.3034,0.17,180.59,562.0,87.8,9.57,2.3629,13.6683,4.492,0.096
59,daily_goods,27.3,1,morning,low,9.1,2.0,6.93,3416,1300,0.1582,15.8,0.2208,0.38,254.79,514.46,104.44,3.15,2.8353,17.7166,3.213,-0.7466
60,daily_goods,47.2,0,afternoon,mid,82.0,15.6,14.71,1280,1300,0.2349,23.5,0.1903,1.02,178.2,490.06,90.94,9.82,2.3542,13.7584,4.841,0.1371
61,daily_goods,19.9,0,afternoon,low,28.5,2.2,8.59,514,1300,0.2172,21.7,0.0771,2.53,275.02,481.93,69.43,14.15,1.7625,11.9646,3.452,0.5624
62,daily_goods,61.5,1,morning,mid,3.3,0.4,2.66,549,1300,0.1737,17.4,0.1196,2.37,176.56,455.65,78.73,8.02,1.406,15.4152,5.518,0.1863
63,food,111.5,1,evening,mid_high,112.6,26.1,12.88,41,1300,0.1917,19.2,0.2317,31.71,208.55,555.74,81.44,9.88,2.584,13.4479,4.773,0.1006
64,daily_goods,43.4,0,evening,mid,65.8,7.4,8.02,1460,1300,0.1675,16.7,0.1125,0.89,205.52,399.04,47.86,11.86,1.1,10.8492,5.353,0.7237
65,food,53.9,0,evening,mid,23.3,8.5,9.7,3527,1300,0.1777,17.8,0.3641,0.37,306.91,337.0,63.1,8.77,2.1061,14.1686,4.592,0.0785
66,apparel,38.8,0,evening,mid,12.4,3.6,8.47,93,1300,0.1211,12.1,0.2904,13.98,255.18,520.38,93.7,7.69,2.8323,14.6877,3.813,-0.2369
67,daily_goods,36.6,1,evening,mid,118.8,21.3,8.74,368,1300,0.0819,8.2,0.1793,3.53,226.99,521.76,92.9,3.28,2.9793,17.7736,4.95,-0.6464
68,food,16.5,0,morning,low,71.3,14.8,9.02,175,1300,0.1106,11.1,0.2076,7.43,263.93,509.38,77.27,10.87,1.5155,16.2932,4.959,0.2926
69,apparel,51.8,0,evening,mid,320.0,90.5,1.51,233,1300,0.1807,18.1,0.2828,5.58,128.43,503.43,79.05,8.91,1.9204,13.1404,3.817,0.1181
70,food,32.9,0,evening,mid,76.8,34.4,9.61,1075,1300,0.1868,18.7,0.4479,1.21,235.76,443.72,77.74,6.57,2.99,16.1041,4.875,-0.3396
71,daily_goods,365.9,1,afternoon,high,74.2,31.1,3.93,44,1300,0.1535,15.4,0.419,29.55,341.87,534.57,89.06,9.53,1.5434,15.3015,6.9,0.3712
72,apparel,206.6,0,evening,high,41.5,2.7,4.75,2493,1300,0.1422,14.2,0.0651,0.52,244.88,466.26,71.06,7.68,2.8696,14.8937,5.47,-0.1359
73,food,55.9,0,afternoon,mid,116.5,12.4,6.89,3074,1300,0.2373,23.7,0.1065,0.42,241.53,430.06,54.24,7.83,2.4351,18.3884,5.605,-0.1755
74,apparel,15.8,0,evening,low,95.2,5.9,18.91,681,1300,0.1458,14.6,0.062,1.91,266.5,444.42,72.13,10.78,1.624,12.2138,5.607,0.4885
75,daily_goods,10.8,0,evening,low,183.9,53.9,3.05,24,1300,0.1684,16.8,0.2931,54.17,284.57,562.0,99.63,5.72,2.5451,16.472,6.173,-0.2287
76,food,135.7,1,late_night,mid_high,28.6,10.4,6.72,223,1300,0.1953,19.5,0.3639,5.83,134.13,327.73,41.66,11.92,1.5247,10.8296,4.068,0.5448
77,apparel,48.9,0,late_night,mid,31.3,3.0,5.7,6307,2174,0.1592,15.9,0.0959,0.34,150.52,510.98,87.51,5.57,3.0739,15.4866,2.824,-0.551
78,apparel,62.1,0,evening,mid,29.9,4.0,12.75,15,1300,0.1276,12.8,0.1339,86.67,248.94,332.31,56.15,7.48,2.7596,15.2626,4.758,-0.1944
79,food,5.4,1,evening,low,113.3,10.8,5.58,589,1300,0.2044,20.4,0.0953,2.21,200.83,461.12,80.53,14.2,1.1,12.0503,5.189,0.8304
80,daily_goods,101.5,0,evening,mid_high,238.2,15.6,8.09,169,1300,0.2344,23.4,0.0655,7.69,306.23,434.44,77.36,12.13,1.7104,12.4893,4.539,0.4806
81,daily_goods,60.3,1,morning,mid,30.5,16.2,3.05,3317,1300,0.1456,14.6,0.5309,0.39,221.61,299.03,41.59,9.45,1.9244,15.6532,4.603,0.1031
82,food,10.8,1,evening,low,31.6,5.4,14.2,360,1300,0.2595,25.9,0.1707,3.61,137.4,501.9,65.75,6.75,3.0571,15.1602,3.726,-0.3812
83,apparel,21.8,0,afternoon,low,68.7,15.5,2.06,1819,1300,0.1928,19.3,0.2256,0.71,172.06,438.84,65.41,7.82,1.9821,14.1177,5.514,0.104
84,daily_goods,48.9,1,morning,mid,38.2,18.2,9.52,2317,1300,0.2134,21.3,0.4769,0.56,128.0,297.87,55.66,9.39,2.7968,18.0043,4.708,-0.1864
85,food,38.8,0,morning,mid,134.2,60.6,8.13,15589,5489,0.1895,19.0,0.4514,0.35,225.83,538.84,81.34,9.3,2.2367,14.3663,5.224,0.1252
86,daily_goods,26.5,1,evening,low,4.6,0.2,8.97,732,1300,0.1422,14.2,0.0431,1.78,228.2,562.0,83.67,8.96,1.8884,12.7913,5.217,0.245
87,apparel,32.7,0,morning,mid,20.7,3.2,2.08,1744,1300,0.146,14.6,0.1543,0.75,215.93,562.0,73.53,9.12,2.0362,12.7349,4.669,0.1877
88,apparel,27.7,1,morning,low,21.7,5.0,5.49,107,1300,0.1425,14.2,0.2301,12.15,294.1,499.43,95.68,8.64,2.0595,12.6333,5.307,0.1978
89,daily_goods,43.3,1,morning,mid,4.3,1.8,12.34,5917,1300,0.1387,13.9,0.4165,0.22,300.32,473.78,83.24,5.45,2.3408,17.619,4.349,-0.3854
90,daily_goods,184.7,1,morning,high,18.0,3.4,20.77,317,1300,0.1039,10.4,0.1893,4.1,229.14,562.0,96.85,7.86,2.4832,14.0456,3.201,-0.1646
91,food,2.2,0,morning,low,18.9,0.8,6.36,428,1300,0.2243,22.4,0.0423,3.04,128.0,562.0,98.63,11.58,1.4993,12.5254,4.276,0.4653
92,daily_goods,28.2,0,evening,low,40.0,6.0,11.58,960,1300,0.1414,14.1,0.15,1.35,270.1,562.0,95.11,5.64,1.9969,15.9001,5.254,-0.1564
93,daily_goods,44.4,0,morning,mid,159.0,1.2,7.58,95,1300,0.2445,24.4,0.0075,13.68,266.88,392.79,60.65,8.71,2.1981,15.272,5.872,0.0968
94,food,50.7,0,evening,mid,38.2,8.9,6.61,1398,1300,0.1599,16.0,0.233,0.93,254.09,486.51,76.37,7.07,1.9294,13.7627,6.056,0.1145
95,daily_goods,24.3,1,late_night,low,16.7,4.4,5.03,4235,1300,0.2128,21.3,0.2629,0.31,289.04,506.04,77.12,9.49,1.9582,11.8956,6.265,0.383
96,apparel,5.3,0,afternoon,low,46.5,7.9,6.92,1540,1300,0.2035,20.4,0.1698,0.84,177.43,321.61,75.17,8.19,2.0853,14.7814,3.746,-0.0474
97,apparel,52.5,1,morning,mid,148.7,52.1,10.89,92,1300,0.211,21.1,0.3505,14.13,342.46,508.49,86.36,13.04,1.4193,12.376,5.201,0.6628
98,daily_goods,244.7,1,evening,high,17.7,1.0,11.5,824,1300,0.0842,8.4,0.0564,1.58,188.11,562.0,85.75,10.52,2.7779,13.5114,4.874,0.1101
99,food,6.8,0,morning,low,19.0,4.1,2.45,3020,1300,0.152,15.2,0.2159,0.43,276.96,522.47,87.79,5.79,2.7592,14.6155,6.885,-0.1372
100,apparel,94.7,0,afternoon,mid_high,88.8,8.4,4.69,59,1300,0.1744,17.4,0.0946,22.03,150.26,562.0,80.82,10.95,2.1036,13.798,5.367,0.3102
101,daily_goods,25.5,1,late_night,low,39.1,4.3,2.93,198,1300,0.2287,22.9,0.1098,6.57,189.63,485.0,91.14,7.19,1.9222,13.8546,5.344,0.0695
102,apparel,34.2,0,late_night,mid,97.5,10.0,7.17,3695,1451,0.1818,18.2,0.1026,0.39,316.85,464.0,68.29,7.7,2.2431,13.8917,5.022,0.0131
103,daily_goods,11.5,0,evening,low,48.7,11.0,5.35,1488,1300,0.2359,23.6,0.2259,0.87,224.43,501.26,84.71,10.02,2.2231,11.7798,4.111,0.215
104,apparel,25.3,1,morning,low,103.2,20.5,8.77,1841,1300,0.1985,19.9,0.1986,0.71,281.68,403.1,74.09,7.92,2.0824,16.6706,5.658,-0.0127
105,daily_goods,152.9,1,evening,high,16.7,3.2,9.19,16143,7144,0.2072,20.7,0.192,0.44,250.32,390.97,66.02,11.52,2.2548,13.3702,4.109,0.2484
106,daily_goods,69.5,0,evening,mid,48.8,14.5,0.94,2004,1300,0.1633,16.3,0.2973,0.65,232.54,562.0,90.77,7.19,2.123,16.0125,4.624,-0.1205
107,daily_goods,246.1,0,afternoon,high,39.6,6.1,6.88,2662,1300,0.2134,21.3,0.154,0.49,308.92,562.0,90.02,7.59,2.3871,16.7893,5.171,-0.143
108,food,133.6,0,evening,mid_high,13.8,1.9,14.9,57879,17030,0.1313,13.1,0.1379,0.29,225.69,388.73,61.69,7.49,2.2958,19.3543,5.901,-0.191
109,food,59.3,1,morning,mid,9.6,4.0,4.69,720,1300,0.1241,12.4,0.4181,1.81,145.4,549.38,82.71,7.73,2.5254,11.973,4.017,-0.0334
110,daily_goods,249.2,1,morning,high,101.5,6.6,4.59,300,1300,0.1485,14.9,0.065,4.33,196.23,462.87,70.01,12.06,1.6377,10.8427,2.821,0.4404
111,apparel,59.3,1,evening,mid,34.2,3.0,13.24,1885,1300,0.2376,23.8,0.0878,0.69,266.66,497.86,92.97,10.83,1.9383,11.7965,5.363,0.4257
112,daily_goods,91.0,1,morning,mid_high,16.9,6.7,11.86,1917,1300,0.2093,20.9,0.3967,0.68,258.57,507.74,80.26,13.65,1.5569,9.6783,4.448,0.7422
113,food,26.4,1,morning,low,44.7,13.3,3.18,450,1300,0.2335,23.3,0.2978,2.89,156.51,551.54,81.17,15.1,1.1795,8.4164,4.37,0.9802
114,food,39.4,0,evening,mid,161.5,20.3,11.09,211,1300,0.2221,22.2,0.1257,6.16,200.33,476.78,71.64,6.52,2.807,14.9781,4.54,-0.2779
115,food,17.0,0,late_night,low,4.5,0.4,3.77,31722,12578,0.1859,18.6,0.0888,0.4,207.75,562.0,99.82,9.38,2.3198,11.7359,4.449,0.1738
116,food,108.7,1,evening,mid_high,10.3,1.2,4.55,1620,1300,0.1963,19.6,0.1169,0.8,219.0,495.37,85.34,6.14,2.6591,16.2281,5.283,-0.2754
117,apparel,10.0,1,evening,low,18.7,6.0,3.18,331,1300,0.1255,12.6,0.3201,3.93,166.45,521.18,88.43,7.18,2.3944,15.1322,3.295,-0.2363
118,apparel,86.5,1,late_night,mid_high,229.1,35.3,2.44,3920,1300,0.1782,17.8,0.1541,0.33,205.32,401.67,61.95,7.56,2.7701,15.5813,4.26,-0.2402
119,apparel,29.7,0,morning,low,66.5,4.7,7.47,842,1300,0.1555,15.5,0.0707,1.54,200.11,562.0,95.08,6.45,2.5643,16.3125,5.093,-0.2495
120,apparel,132.7,0,afternoon,mid_high,110.6,30.7,2.14,679,1300,0.0792,7.9,0.2776,1.91,278.12,508.53,75.57,6.47,2.5375,16.4565,4.627,-0.2825
121,food,83.6,0,afternoon,mid_high,14.9,1.0,7.68,2306,1300,0.173,17.3,0.067,0.56,280.07,528.47,82.22,8.82,2.3512,13.4311,3.922,0.0137
122,daily_goods,271.2,0,morning,high,15.2,1.9,7.51,143,1300,0.1,10.0,0.1246,9.09,230.42,338.13,62.83,6.04,3.2987,19.1512,5.264,-0.5517
123,food,81.8,1,evening,mid_high,79.1,26.0,6.16,1684,1300,0.2132,21.3,0.3289,0.77,217.61,402.54,72.27,11.39,1.4863,12.8136,5.514,0.5303
124,food,6.5,1,afternoon,low,52.5,10.4,4.86,17491,10959,0.2751,27.5,0.198,0.63,245.28,562.0,81.08,6.81,2.8655,12.2954,4.839,-0.1295
125,daily_goods,34.0,0,afternoon,mid,87.9,40.4,4.17,1997,1694,0.2602,26.0,0.4596,0.85,195.54,493.53,71.26,16.5,1.1,8.0,3.161,1.0322
126,food,10.1,0,morning,low,40.6,6.4,2.86,564,1300,0.1656,16.6,0.1578,2.3,178.36,313.07,51.07,8.03,2.5023,11.7388,4.978,0.0726
127,apparel,20.7,1,morning,low,66.2,9.0,17.23,464,1300,0.1891,18.9,0.136,2.8,189.11,555.14,104.36,9.39,2.7871,13.7076,3.34,-0.0934
128,daily_goods,192.9,0,late_night,high,58.3,6.7,5.96,536,1300,0.1803,18.0,0.1149,2.43,204.99,425.41,50.83,5.83,2.9045,15.6892,4.852,-0.3584
129,food,73.8,1,morning,mid,111.8,33.0,5.81,678,1300,0.2012,20.1,0.2952,1.92,177.5,562.0,92.42,13.64,1.7007,10.2963,3.826,0.6385
130,food,17.0,1,morning,low,115.3,19.6,3.3,563,1300,0.1896,19.0,0.17,2.31,246.43,462.8,61.66,12.11,1.6583,15.2088,4.043,0.3351
131,food,12.0,0,morning,low,9.0,2.3,16.06,3922,1300,0.1925,19.3,0.2551,0.33,275.95,486.79,72.18,9.97,2.1648,14.1957,4.737,0.1629
132,food,37.9,0,afternoon,mid,4.7,0.3,4.37,74,1300,0.1475,14.7,0.0643,17.57,155.47,562.0,86.64,5.7,2.664,17.1288,4.201,-0.4262
133,apparel,9.6,1,evening,low,141.4,43.3,8.21,3616,1300,0.1413,14.1,0.3062,0.36,239.31,396.41,59.64,9.75,1.9102,11.9667,4.372,0.2736
134,food,17.5,1,afternoon,low,171.9,34.9,9.33,561,1300,0.142,14.2,0.203,2.32,226.56,388.59,57.37,6.28,2.5687,14.0051,5.183,-0.1547
135,daily_goods,51.6,0,morning,mid,16.9,3.2,7.47,1747,1300,0.2274,22.7,0.1892,0.74,255.76,453.89,72.69,13.0,1.7991,11.4976,4.613,0.5742
136,apparel,130.4,1,morning,mid_high,7.0,0.8,2.1,183,1300,0.1419,14.2,0.1141,7.1,237.33,537.83,81.24,11.3,1.6989,12.7684,5.53,0.4811
137,food,71.5,1,evening,mid,54.8,19.4,10.77,7280,1517,0.1634,16.3,0.3539,0.21,162.41,360.87,44.58,9.45,1.9451,10.6721,4.577,0.3157
138,apparel,2.9,1,evening,low,131.3,32.8,4.34,6428,3641,0.2239,22.4,0.2498,0.57,172.36,333.22,60.33,2.87,2.6728,17.4349,3.932,-0.6686
139,food,51.2,0,evening,mid,320.0,56.7,11.78,4186,1300,0.1934,19.3,0.1772,0.31,239.53,537.55,92.78,6.64,2.7567,15.4038,4.214,-0.3001
140,food,39.6,1,evening,mid,85.0,3.6,6.57,102,1300,0.1838,18.4,0.0424,12.75,291.5,420.56,74.88,10.99,2.2025,12.3431,3.963,0.2554
141,daily_goods,57.7,1,evening,mid,33.4,6.6,9.72,3442,1300,0.1554,15.5,0.1974,0.38,128.0,437.84,56.19,12.35,1.9016,10.5394,4.377,0.5298
142,apparel,216.6,0,morning,high,19.3,3.3,15.37,1821,1300,0.1117,11.2,0.1706,0.71,255.98,317.74,53.53,12.08,2.1961,11.1448,4.681,0.4413
143,apparel,3.8,0,afternoon,low,50.0,5.2,10.51,89,1300,0.184,18.4,0.104,14.61,299.86,414.32,72.38,5.06,2.8722,16.0794,3.491,-0.5227
144,food,19.1,1,evening,low,36.1,4.7,9.88,957,1300,0.1673,16.7,0.1303,1.36,230.04,469.38,65.82,9.98,2.2894,13.4552,4.395,0.1449
145,daily_goods,70.1,0,morning,mid,17.0,5.5,11.1,1714,1300,0.1751,17.5,0.3232,0.76,266.61,546.29,87.49,11.84,1.9987,13.1267,4.351,0.3553
146,daily_goods,6.4,0,evening,low,320.0,47.1,3.66,2285,1300,0.1736,17.4,0.1472,0.57,201.44,406.76,64.04,4.89,2.8336,18.1986,5.743,-0.459
147,apparel,185.6,0,afternoon,high,320.0,17.5,12.11,1295,1300,0.1991,19.9,0.0547,1.0,231.79,562.0,106.5,9.18,2.0791,13.3378,3.565,0.0771
148,apparel,54.9,1,evening,mid,162.9,26.6,5.63,1536,1300,0.2369,23.7,0.1633,0.85,153.71,413.87,83.54,9.91,2.9373,12.6247,3.285,-0.0437
149,daily_goods,92.9,1,late_night,mid_high,18.8,1.2,5.76,9049,2764,0.187,18.7,0.0639,0.31,128.0,413.99,51.26,8.42,2.2133,14.9811,4.967,0.0203
150,apparel,19.5,0,evening,low,121.2,12.9,7.31,6242,1876,0.184,18.4,0.1064,0.3,287.02,562.0,112.37,4.38,2.7031,17.759,6.099,-0.4228
151,daily_goods,89.6,1,late_night,mid_high,96.7,60.7,5.25,13,1300,0.1513,15.1,0.6277,100.0,186.78,487.34,69.74,8.35,2.5325,13.6263,3.984,-0.0643
152,apparel,118.5,0,evening,mid_high,78.6,13.0,3.08,616,1300,0.129,12.9,0.1653,2.11,214.31,424.73,76.78,8.35,2.4693,15.5882,4.231,-0.1197
153,daily_goods,47.3,1,late_night,mid,183.5,42.4,6.92,775,1300,0.2017,20.2,0.2311,1.68,165.91,457.28,81.9,8.82,1.8242,15.602,4.839,0.0971
154,apparel,47.4,1,morning,mid,96.3,18.3,5.78,72,1300,0.2246,22.5,0.1901,18.06,164.68,562.0,80.96,7.73,2.86,16.771,2.713,-0.4102
155,food,49.3,1,afternoon,mid,107.4,5.1,5.63,1143,1300,0.175,17.5,0.0475,1.14,228.96,562.0,94.36,8.05,2.3903,17.3554,3.434,-0.2596
